URI_Name;Provincia;Canton;Parroquia;Latitud;Longitud;Nombre;Direccion;Tipo;RegimenEscolar;Modalidad;JornadaLaboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
COLEGIODEBACHILLERATO2DEAGOSTO;Loja_Province;ESPINDOLA;ELAIRO;-4,47194595;-79,38666882;COLEGIO DE BACHILLERATO  2 DE AGOSTO;   BARRIO LA HUACA;FiscalHighSchool;Costa;Presencial;Matutina;7;3;10;2;63;81;144
COLEGIODEBACHILLERATOAGUSTINCURIPOMA;Loja_Province;LOJA;GUALEL;-3,770003863;-79,3799719;COLEGIO DE BACHILLERATO  AGUSTIN CURIPOMA;   PARROQUIA GUALEL;FiscalHighSchool;Sierra;Presencial;Matutina;2;6;8;2;52;25;77
COLEGIODEBACHILLERATOLATINGUE;Loja_Province;OLMEDO;LATINGUE;-3,910695867;-79,58210788;COLEGIO DE BACHILLERATO  LA TINGUE;   PARROQUIA LA TINGUE;FiscalHighSchool;Costa;Presencial;Matutina;5;3;8;2;44;45;89
COLEGIODEBACHILLERATOLICMIGUELANTOLIANOSALINASJARAMILLO;Loja_Province;QUILANGA;SANANTONIODELASARADAS;-4,364194784;-79,39869474;COLEGIO DE BACHILLERATO  LIC  MIGUEL ANTOLIANO SALINAS JARAMILLO;   PROLONGACION DE LA ESCALINATA DEL PARQUE CENTRAL;FiscalHighSchool;Costa;Presencial;Matutina;6;4;10;4;40;55;95
COLEGIODEBACHILLERATOPIOJARAMILLOALVARADO;Loja_Province;LOJA;SANSEBASTIAN;-4,003418748;-79,20204597;COLEGIO DE BACHILLERATO  PIO JARAMILLO ALVARADO;BOLIVAR 1479 CATACOCHA Y LOURDES ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina,Nocturno;47;20;67;5;974;201;1175
COLEGIODEBACHILLERATOQUILANGA;Loja_Province;QUILANGA;QUILANGA;-4,294694893;-79,4019127;COLEGIO DE BACHILLERATO  QUILANGA;   BARRIO SANN ROQUE;FiscalHighSchool;Costa;Presencial;Matutina;10;12;22;5;165;178;343
COLEGIODEBACHILLERATO12DEDICIEMBRE;Loja_Province;CELICA;CELICA;-4,104940523;-79,95347243;COLEGIO DE BACHILLERATO 12 DE DICIEMBRE;CALLE COLON VIA A GUACHAMA 300 CALLE LOJA ;FiscalHighSchool;Costa;Presencial;Matutina,Nocturno;8;13;21;6;94;130;224
COLEGIODEBACHILLERATO14DEOCTUBRE;Loja_Province;CALVAS;ELLUCERO;-4,400078925;-79,46321844;COLEGIO DE BACHILLERATO 14 DE OCTUBRE;   AVENIDA ESPINDOLA  PARROQUIA EL LUCERO;FiscalHighSchool;Costa;Presencial;Matutina;3;7;10;5;89;93;182
COLEGIODEBACHILLERATO18DENOVIEMBRE;Loja_Province;SOZORANGA;SOZORANGA;-4,32711164;-79,78975135;COLEGIO DE BACHILLERATO 18 DE NOVIEMBRE;   BARRIO SAN VICENTE;FiscalHighSchool;Costa;Presencial;Matutina,Nocturno;13;11;24;5;102;116;218
COLEGIODEBACHILLERATO27DEFEBRERO;Loja_Province;LOJA;SANSEBASTIAN;-4,0145026;-79,20516425;COLEGIO DE BACHILLERATO 27 DE FEBRERO;PABLO PALACIO 21-51 JHON F  KENNEDY ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;50;27;77;9;572;576;1148
COLEGIODEBACHILLERATO30DESEPTIEMBRE;Loja_Province;GONZANAMA;PURUNUMA(EGUIGUREN);-4,210332743;-79,37280365;COLEGIO DE BACHILLERATO 30 DE SEPTIEMBRE;   TRECE DE SEPTIEMBRE;FiscalHighSchool;Costa;Presencial;Matutina;5;5;10;2;34;48;82
COLEGIODEBACHILLERATO8DEDICIEMBRE;Loja_Province;CATAMAYO;SANPEDRODELABENDITA;-3,944030198;-79,43500171;COLEGIO DE BACHILLERATO 8 DE DICIEMBRE;   LOCALIDAD SAN PEDRO DE LA BENDITA;FiscalHighSchool;Sierra;Presencial;Matutina;13;8;21;2;161;202;363
COLEGIODEBACHILLERATOABDONCALDERONMUnOZ;Loja_Province;LOJA;SANTIAGO;-3,790059874;-79,28533633;COLEGIO DE BACHILLERATO ABDON CALDERON MUÑOZ;   AVENIDA AMADEO AGUIRRE;FiscalHighSchool;Sierra;Presencial;Matutina;5;4;9;2;62;61;123
